Graph summary:
  N (nodes) : 1773
  M (edges) : 90254
  Dangling nodes: 1483

Top 1773 nodes by PageRank:
  node 1 : 0.0016192118
  node 127 : 0.0016192118
  node 218 : 0.0016192118
  node 276 : 0.0016192118
  node 172 : 0.0016192118
  node 247 : 0.0016192118
  node 174 : 0.0016192118
  node 179 : 0.0016192118
  node 181 : 0.0016192118
  node 183 : 0.0016192118
  node 312 : 0.0016192118
  node 313 : 0.0016192118
  node 207 : 0.0016153764
  node 4 : 0.0016153440
  node 65 : 0.0016152437
  node 15 : 0.0016151137
  node 18 : 0.0016151137
  node 178 : 0.0016150892
  node 182 : 0.0016150892
  node 229 : 0.0016150768
  node 69 : 0.0016150643
  node 184 : 0.0016150643
  node 233 : 0.0016150518
  node 13 : 0.0016150265
  node 284 : 0.0016150265
  node 166 : 0.0016150265
  node 9 : 0.0016150265
  node 221 : 0.0016150137
  node 236 : 0.0016149879
  node 47 : 0.0016149879
  node 177 : 0.0016149879
  node 245 : 0.0016149749
  node 176 : 0.0016149619
  node 58 : 0.0016149619
  node 194 : 0.0016149619
  node 180 : 0.0016149487
  node 219 : 0.0016149487
  node 173 : 0.0016149487
  node 161 : 0.0016149487
  node 256 : 0.0016149487
  node 193 : 0.0016149354
  node 56 : 0.0016149354
  node 255 : 0.0016149354
  node 222 : 0.0016149221
  node 46 : 0.0016149221
  node 232 : 0.0016149221
  node 3 : 0.0016149087
  node 130 : 0.0016149087
  node 214 : 0.0016149087
  node 295 : 0.0016149087
  node 185 : 0.0016148952
  node 16 : 0.0016148952
  node 235 : 0.0016148952
  node 238 : 0.0016148952
  node 215 : 0.0016148816
  node 10 : 0.0016148816
  node 249 : 0.0016148816
  node 165 : 0.0016148680
  node 75 : 0.0016148680
  node 150 : 0.0016148680
  node 212 : 0.0016148680
  node 42 : 0.0016148680
  node 41 : 0.0016148680
  node 112 : 0.0016148680
  node 252 : 0.0016148680
  node 240 : 0.0016148542
  node 5 : 0.0016148542
  node 226 : 0.0016148542
  node 224 : 0.0016148542
  node 73 : 0.0016148542
  node 164 : 0.0016148404
  node 122 : 0.0016148404
  node 241 : 0.0016148404
  node 228 : 0.0016148404
  node 11 : 0.0016148404
  node 49 : 0.0016148404
  node 55 : 0.0016148404
  node 2 : 0.0016148264
  node 45 : 0.0016148264
  node 40 : 0.0016148264
  node 57 : 0.0016148264
  node 114 : 0.0016148264
  node 239 : 0.0016148264
  node 281 : 0.0016148264
  node 170 : 0.0016148264
  node 70 : 0.0016148264
  node 0 : 0.0016148264
  node 29 : 0.0016148124
  node 246 : 0.0016148124
  node 26 : 0.0016148124
  node 17 : 0.0016148124
  node 301 : 0.0016148124
  node 38 : 0.0016148124
  node 72 : 0.0016148124
  node 27 : 0.0016147983
  node 35 : 0.0016147983
  node 134 : 0.0016147983
  node 43 : 0.0016147983
  node 154 : 0.0016147983
  node 211 : 0.0016147983
  node 285 : 0.0016147983
  node 251 : 0.0016147983
  node 76 : 0.0016147983
  node 24 : 0.0016147983
  node 208 : 0.0016147983
  node 265 : 0.0016147983
  node 202 : 0.0016147983
  node 54 : 0.0016147983
  node 91 : 0.0016147983
  node 203 : 0.0016147983
  node 60 : 0.0016147983
  node 89 : 0.0016147841
  node 74 : 0.0016147841
  node 126 : 0.0016147841
  node 133 : 0.0016147841
  node 25 : 0.0016147841
  node 63 : 0.0016147841
  node 62 : 0.0016147841
  node 90 : 0.0016147841
  node 116 : 0.0016147841
  node 155 : 0.0016147841
  node 111 : 0.0016147841
  node 53 : 0.0016147841
  node 52 : 0.0016147841
  node 273 : 0.0016147841
  node 44 : 0.0016147841
  node 248 : 0.0016147841
  node 151 : 0.0016147698
  node 135 : 0.0016147698
  node 160 : 0.0016147698
  node 96 : 0.0016147698
  node 132 : 0.0016147698
  node 129 : 0.0016147698
  node 117 : 0.0016147698
  node 102 : 0.0016147698
  node 104 : 0.0016147698
  node 105 : 0.0016147698
  node 39 : 0.0016147698
  node 59 : 0.0016147698
